bank_code,bank_name,listed,state_owned,fy,total_assets,cash_bank_balances,investments,gross_loans,net_loans,total_deposits,borrowings,total_liabilities,shareholders_equity,paid_up_capital,reserves,interest_income,interest_expense,net_interest_income,non_interest_income,operating_income,operating_expenses,personnel_expenses,provision_loan_losses,profit_before_tax,profit_after_tax,roa,roe,nim,profit_margin,asset_growth,loan_growth,deposit_growth,equity_growth,profit_growth,cost_income,assets_per_employee,loans_per_employee,deposits_per_employee,profit_per_employee,assets_per_branch,gross_npl_pct,net_npl_pct,provision_coverage_pct,car_pct,cet1_pct,loan_deposit_ratio,asset_share_pct,loan_share_pct,deposit_share_pct,profit_share_pct,asset_rank,loan_rank,deposit_rank,profit_rank,branches,employees,atms,extension_counters,branchless_banking_centers,mobile_banking_users,internet_banking_users,debit_cards,credit_cards,qr_users,digital_transactions_count,agriculture,manufacturing,construction,wholesale_retail,transportation,tourism,consumption,real_estate,hydropower,sme,retail,corporate,housing,vehicle,margin_lending,other_sectors,current_deposits,savings_deposits,fixed_deposits,call_deposits,other_deposits,casa_ratio,fixed_deposit_share,cost_of_deposits_pct,gdp_growth_pct,inflation_pct,remittance_usd_mn,policy_rate_pct,bank_rate_pct,ticker,share_price_eoy,market_cap,pe_ratio,pb_ratio,eps,bvps,dividend_per_share,dividend_yield_pct,annual_return_pct,price_volatility,digital_account_opening,mobile_banking,digital_lending,qr_ecosystem,api_open_banking,ai_initiatives,digital_customer_acquisition,core_banking_upgrade,fintech_partnership,digital_index
BOKL,Bank of Kathmandu,True,False,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67787459697703,4.6850965426577,11254.5,6.5,7.5,,,,,,,,,,,,,,,,,,,,,
BOKL,Bank of Kathmandu,True,False,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.43073194983359,2.65334269811436,,5.0,6.0,,,,,,,,,,,,,,,,,,,,,
CCBL,Century Commercial Bank,True,False,2020,83088.59,8153.450000000001,6821.38,60526.11,60437.44,65314.89,,72523.04999999999,10565.54,8415.47,1189.11,7845.89,5150.65,2695.24,478.11,3173.35,1534.96,902.91,422.71,1251.56,804.53,,,,25.35270297950116,,,,,,48.37033418942128,,,,,,,,,14.53,13.8,92.66816494676789,2.200328550721949,2.459866565141169,2.172918175372168,1.647973600631717,22.0,21.0,22.0,22.0,,,,,,,,,,,,4630.2,7335.8,2348.4,12571.3,1174.2,2554.2,10779.7,4303.4,4382.1,9224.2,25336.2,12940.5,3056.6,823.2,3680.0,5459.5,5669.3,17550.1,37216.4,4879.0,,35.55,56.98,,-2.3696206292072,5.05635826238499,8107.7,5.0,6.0,,,,,,17.09,167.13,3.82,,,,,,,,,,,,,
CCBL,Century Commercial Bank,True,False,2021,111628.2,5062.73,12356.26,80305.56,80218.81999999999,93496.63,,100717.31,10910.89,9034.43,1324.66,7608.42,5176.09,2432.33,413.97,3054.09,1610.08,940.52,638.57,842.9,629.32,0.646395208137932,5.860564348916464,3.454237246494343,20.60581056877826,34.34841053386513,32.67920241363602,43.14749668873361,3.268645047957786,-21.77793245745963,52.71881313255339,,,,,,,,,12.34,11.18,85.8913952299671,2.404080223454234,2.496769907099976,2.562201484718013,1.138642147707934,22.0,21.0,21.0,22.0,,,148.0,,63.0,468088.0,41316.0,313312.0,7125.0,,,6143.4,9733.0,3115.9,16679.5,1557.9,3388.9,14302.4,5709.7,5814.1,12238.6,33615.9,17169.3,4055.4,1092.2,4882.6,7243.6,8115.5,25122.5,53274.4,6984.2,,35.55,56.98,,4.838149614115,4.12676744440695,8226.0,3.0,4.0,,,,,,17.88,171.04,2.79,,,,,,,,,,,,,
CCBL,Century Commercial Bank,True,False,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6313145568451,7.6702057938028,9411.7,6.0,7.0,,,,,,,,,,,,,,,,,,,,,
CCBL,Century Commercial Bank,True,False,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98254843461849,7.11587261530826,10764.4,7.5,8.5,,,,,,9.56,125.56,,,,,,,,,,,,,,
CCBL,Century Commercial Bank,True,False,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67787459697703,4.6850965426577,11254.5,6.5,7.5,,,,,,6.97,120.78,,,,,,,,,,,,,,
CCBL,Century Commercial Bank,True,False,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.43073194983359,2.65334269811436,,5.0,6.0,,,,,,,,,,,,,,,,,,,,,
CIVIL,Civil Bank,True,False,2020,77199.29,4725.49,8197.29,51512.72,53891.33,57512.41,,67127.07999999999,10072.21,8003.39,1804.08,6199.06,3962.53,2236.53,601.21,2837.74,1705.29,1040.79,223.65,879.06,555.06,,,,19.55993149478106,,,,,,60.09324321467084,,,,,,,,,15.0,13.83,89.56800801774781,2.044369773063467,2.093549669844614,1.913342593066543,1.136967206650642,23.0,23.0,23.0,23.0,,,,,,,,,,,,4129.0,6541.7,2094.2,11210.5,1047.1,2277.7,9612.8,3837.6,3907.7,8225.7,22593.6,11539.7,2725.7,734.1,3281.6,4868.5,4992.1,15453.6,32770.6,4296.2,,35.55,56.98,,-2.3696206292072,5.05635826238499,8107.7,5.0,6.0,,,,,,,,2.78,,,,,,,,,,,,,
CIVIL,Civil Bank,True,False,2021,109962.96,5027.71,12712.81,79037.7,82680.07,88634.88,,99269.25,10693.71,8643.66,1556.35,7065.78,4849.59,2216.19,411.51,2985.7,1757.71,1098.91,344.69,755.85,527.78,0.5639812515611454,5.083136215491536,3.395148020205527,17.67692668385973,42.4403773661649,53.43336558426732,54.11435549301446,6.170443229440203,-4.914783987316684,58.87095153565328,,,,,,,,,11.93,10.75,89.17223106749847,2.368216789740308,2.457351033806324,2.428969056251577,0.9549236520645985,23.0,22.0,22.0,23.0,,,148.0,,63.0,468088.0,41316.0,313312.0,7125.0,,,6329.3,10027.6,3210.1,17184.2,1605.1,3491.4,14735.2,5882.5,5990.1,12608.9,34633.2,17688.9,4178.2,1125.2,5030.3,7462.8,7693.5,23816.2,50504.2,6621.0,,35.55,56.98,,4.838149614115,4.12676744440695,8226.0,3.0,4.0,,,,,,,,2.44,,,,,,,,,,,,,
